release_date,budget
1/20/2016,11500000
4/18/2013,25000000
7/1/2008,145000000
1/11/2018,30000000
11/8/2013,0
5/13/2011,32500000
9/28/2001,28000000
3/27/2019,170000000
12/19/1986,6000000
5/25/2019,24000000
9/15/2016,40000000
6/14/2002,84000000
12/17/1999,133000000
2/18/2000,23000000
12/24/2014,50000000
7/13/2005,40000000
7/2/1980,3500000
6/28/2018,80000000
9/12/2013,3000000
3/12/2014,66000000
2/27/1997,35000000
8/2/1996,36000000
2/3/2000,40000000
7/11/1997,90000000
6/9/2000,90000000
11/8/1973,5000000
8/21/2014,11000000
12/10/2010,25000000
2/25/2004,30000000
11/21/1985,31000000
7/29/2020,34000000
7/19/1995,12000000
10/26/2006,10000000
2/15/2023,200000000
6/22/2007,25000000
4/4/2001,53000000
8/12/2004,70000000
6/28/2017,50000000
8/17/1979,4000000
11/23/2007,1500000
6/15/1979,7000000
10/30/2019,45000000
7/21/2003,95000000
8/7/1992,14400000
10/29/1999,13000000
11/17/1988,5000000
9/10/2004,45000000
8/15/1986,15000000
6/9/2007,175000000
6/29/1988,30000000
1/19/2012,79000000
6/16/1989,37000000
12/22/2021,100000000
2/4/2010,25000000
6/7/2013,58000000
12/21/1968,5000000
7/11/2013,80000000
12/1/2021,85000000
9/12/2013,5000000
12/24/2013,40000000
3/2/2011,15000000
8/21/2019,6000000
12/22/1993,26000000
3/28/2012,150000000
5/31/2018,5000000
4/12/1979,350000
11/11/2021,75000000
1/17/2013,15000000
10/9/2015,30000000
7/28/2016,20000000
10/2/2002,78000000
4/21/2006,50000000
4/26/2007,15000000
10/6/1961,2500000
5/17/2023,340000000
10/24/2008,55000000
8/29/2018,20000000
12/25/2014,65000000
7/17/2014,40000000
12/22/2016,38000000
11/12/2014,42000000
11/14/1980,18000000
8/17/2011,13000000
8/9/2002,70000000
12/20/1946,3180000
6/28/2006,270000000
11/2/2000,92000000
7/21/2021,18000000
9/7/2007,30000000
11/18/1977,20000000
9/19/1984,18000000
3/30/1990,22000000
11/18/2016,9000000
8/6/2010,100000000
12/3/2015,100000000
12/24/2015,60000000
12/10/2009,60000000
7/10/2020,70000000
6/28/2004,26000000
7/23/2014,100000000
8/2/2013,61000000
12/21/2016,0
11/22/2014,132000000
8/6/1993,44000000
2/25/2016,140000000
4/6/2022,200000000
6/16/1980,27000000
12/10/2001,68000000
3/11/2022,116000000
6/22/1984,8000000
11/26/2002,140000000
1/9/2013,60000000
8/30/2000,26000000
2/5/2012,30000000
7/28/1998,15000000
9/20/2007,45000000
9/2/2013,38000000
8/1/2003,55000000
1/25/2002,11800000
7/30/2004,60000000
5/22/2014,40000000
7/19/2008,41677699
11/10/1995,30000000
1/19/2012,70000000
10/26/2005,15000000
5/3/2005,130000000
9/12/1964,200000
7/19/2023,100000000
3/22/2013,44000000
4/12/2018,3500000
6/5/1997,75000000
7/18/2013,84000000
5/28/1982,17000000
10/24/2003,48000000
10/25/2012,3800000
8/9/2007,70000000
10/8/2014,50000000
2/24/2006,27000000
8/25/2017,40000000
7/8/1959,4000000
8/2/1986,3000000
7/3/2010,40000000
7/8/2021,150000000
2/25/2003,0
